,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Hist1h1c,334.181806307139,1.43865781380128,0.348797708159877,4.12461945748176,3.7134821957332e-05,0.0038740903006986
E2f3,44.7903463529174,1.98462051902822,0.444218385027894,4.46766857455394,7.90766919886577e-06,0.0013468858598721
Serpinb1a,59.4350139355195,-1.38386280385347,0.431474181056707,-3.20728994829843,0.0013399187195321,0.0417274687806529
Gcnt2,305.097366992901,1.32900700759278,0.260335831799236,5.10497152238989,3.30844334328643e-07,0.0001474774662353
Rnf144b,49.7324289323697,-1.3007631214594,0.410183130693695,-3.17117654073089,0.0015182284444884,0.0454162530383523
Fam193b,60.9562518930707,-1.14510745162455,0.341835838457879,-3.34987535768767,0.0008084793188178,0.0304761450674323
Zcchc9,134.29442979477,1.66413707757639,0.37738551168035,4.40964749856622,1.03539017284153e-05,0.0016296099812857
Mtx3,75.6468747527248,1.24456689231985,0.347315339997928,3.5833916587942,0.0003391614749956,0.0175816252814529
Col4a3bp,339.706363112462,1.02999757297324,0.2447764562298,4.20791112363463,2.57742193559547e-05,0.0029876615936777
Eaf1,92.047545799861,1.92300074473601,0.524630656833066,3.66543723606281,0.0002469163642497,0.0147197426859161
Ankrd28,99.4548821889657,1.32492171189607,0.317837937641272,4.16854489344014,3.06550387629375e-05,0.0033664072830983
Rcbtb1,653.785000284908,2.21352692776659,0.367303816797464,6.02641961923081,1.6763162109263202e-09,2.79810701927822e-06
Gm17066,40.5013897890333,2.15250668176377,0.557391457936079,3.86175039304355,0.0001125775526517,0.008781049106838
Pcca,238.308035877729,1.15474673397831,0.251560281345767,4.59033806052682,4.42528681551825e-06,0.0008393964491435
A1bg,519.689372603893,-3.19064235104082,0.901498464593437,-3.5392654301189,0.0004012421878523,0.0193570364151212
Mpst,79.8176715632305,-2.03175361142583,0.428755371176052,-4.73872456886744,2.15067595093653e-06,0.0005790174673069
H1f0,480.021713852099,1.27942409278973,0.302771260600289,4.22571181377348,2.38186659588849e-05,0.0029415394122462
Asb8,178.815371474223,1.12547577782114,0.26246880124387,4.28803641608976,1.80259545622896e-05,0.0025499087589299
Smagp,42.1415689048438,-1.33189340553928,0.398628732284845,-3.34118767080632,0.0008342081486289,0.0309435609264759
Zfp263,153.132789532352,1.18612269938973,0.324276221073089,3.65775416854381,0.000254434902842,0.0149204925529976
Mpv17l,50.7288749402419,1.54954445481974,0.44540945060212,3.47892136712639,0.0005034362848911,0.022959995812576
Abcf3,176.409720083045,1.00891071811933,0.296026646301513,3.408175347471,0.0006539885486473,0.0274954979841977
Eif4a2,1893.18355651483,1.9152405154059,0.484485376408249,3.95314411676284,7.71309489123001e-05,0.0069218806410973
Snora81,19.7605263941431,-3.08268778616129,0.810567541331106,-3.80312266279369,0.0001428835622881,0.0103197106500564
Nr1i2,275.919725762565,-1.0428804540497,0.314539276028063,-3.31558102129241,0.0009145282671891,0.032899366025694
Usp25,93.6071398591336,1.1600260266488,0.368101140391499,3.15137851899899,0.0016250174536848,0.0464752716455384
D16Ertd472e,122.692900163541,1.14390341606671,0.306874066263514,3.72759884859228,0.0001933127501175,0.0126045954100116
Bach1,93.3040569187836,1.00349851783726,0.320363810905818,3.1323716464725,0.0017340022691677,0.0484260250242456
Zfp946,19.8000851225248,2.04049396283895,0.607622583823442,3.35816017567882,0.0007846313194176,0.029901977131781
Pdpk1,189.515271453223,1.27375510486027,0.367674781179274,3.46435265637434,0.0005315092221305,0.0239782484751449
Snhg9,31.3460940774082,-2.14090866734149,0.552780978618271,-3.87297817789045,0.0001075134575175,0.0085857027885413
Hnrnpm,1035.06083204364,1.1761444868059,0.277781558850993,4.23406251901985,2.29507094907124e-05,0.0029022215365073
H2-Q1,35.2257715203113,1.99801264191716,0.474785347200269,4.20824411220589,2.57362752738214e-05,0.0029876615936777
Tmem63b,81.9413437421795,-1.32419016903562,0.391803930777504,-3.379726605621,0.0007255796602526,0.028430459363704
Ppp2r5d,25.5576342154454,1.72187449180117,0.483396844388561,3.56203088991848,0.0003679970726934,0.018441950390632
Memo1,157.071112118869,1.43918555953199,0.382412205288378,3.7634404436613,0.0001675916531493,0.0114649175179026
Mkx,20.9195245086099,1.92436490246631,0.549877286191879,3.49962609984004,0.0004659111776484,0.0219617881480429
Npc1,125.444145945362,-1.05941400009715,0.330081577960574,-3.20955203450855,0.0013294198166092,0.0415555722450208
Ndfip1,225.50645172772,1.15655161435717,0.357595023606405,3.23424974624409,0.001219627533376,0.039301202291725
Mir122a,14.8239365446003,-2.5349780490839,0.749083378380872,-3.38410665921222,0.0007141025668023,0.028430459363704
Zadh2,398.953345059671,1.14466892243162,0.280874339596146,4.07537735229738,4.59397902106785e-05,0.0044582963848642
Fkbp2,250.380488692861,1.04189373736888,0.28461679193528,3.66068962510759,0.0002515373140816,0.0148888682505332
Stip1,78.4127724557408,-1.11816130280114,0.328284499534443,-3.40607401320154,0.0006590430999922,0.0274954979841977
B3gat3,43.0835279016111,-1.52995188820394,0.404236639814859,-3.78479271177561,0.0001538367480337,0.0108806906702484
Dtx4,64.2932781432946,-1.58401523526748,0.406761378688984,-3.89421247507042,9.85182691284769e-05,0.0083420635623253
Gm4952,1493.89634107309,-1.76117177017831,0.440018203732842,-4.00249752223345,6.26773244625563e-05,0.0058775837074662
Nmrk1,107.994131356123,1.31844735813767,0.407632584828103,3.23440128981261,0.0012189804945373,0.039301202291725
Pten,443.216159592696,1.14192764195389,0.35190590766874,3.24498002752719,0.0011745886162402,0.0385267440193786
Ccnj,24.7265925603167,1.72705512861499,0.52602189850112,3.2832380810308,0.0010262195694431,0.0349584837819301
Nhlrc2,109.198345253618,1.06807327606972,0.299372681973133,3.56770453813677,0.0003601222469515,0.0182982154445533
Frmd4a,98.9546379127542,1.06428958264551,0.340897245755393,3.12202458628597,0.0017961193807358,0.0499680411720718
Prpf18,276.19530667567,1.49702880832672,0.276174859011304,5.42058322646033,5.94049080351756e-08,5.50881513846195e-05
Rbm17,939.951793047106,1.25596764351275,0.246077095223382,5.10395996983228,3.32618661572081e-07,0.0001474774662353
Il15ra,126.959487810326,1.25005800049038,0.374579264906841,3.33723224322433,0.0008461720952826,0.0311862508959998
Pnpla7,216.394797455794,-1.17108482381433,0.330774605509966,-3.540431472993,0.0003994733603358,0.0193570364151212
Fcna,107.731790273222,-1.21006047752166,0.332923308014599,-3.6346523310065,0.000278355751294,0.0158037897979612
C330006A16Rik,187.088482865361,-1.24895170570968,0.262686435835346,-4.75453443851413,1.98904235682848e-06,0.0005784866860654
Rpl12,393.84192725794,-1.0378575087459,0.307078561503076,-3.37977846341938,0.0007254427801121,0.028430459363704
AI182371,944.738907884946,-1.56841141481061,0.400619594822515,-3.91496430798761,9.04175823418654e-05,0.0078606785648459
Ola1,379.626778676883,1.22891387164941,0.313269639450478,3.92286298092949,8.75029201211409e-05,0.0076873618034846
Ubr1,260.135211611745,1.67727554894109,0.372968599123704,4.49709587585087,6.8887929323948e-06,0.0011977888711201
Pdia3,258.727126720097,-1.21834901926503,0.285036272476485,-4.27436483321798,1.91682947090456e-05,0.0026225997974048
Serf2,418.52366238858,1.26627045425056,0.272260498567127,4.65095179401631,3.30406561954923e-06,0.000736934293688
Ciao1,119.483632251026,1.09372896447282,0.294202006721846,3.71761218307016,0.0002011146883874,0.0127159332521366
Adra2b,72.6191421711998,2.3135131025867,0.433909787040795,5.33178363724991,9.72527707698057e-08,6.77465154125171e-05
Apmap,284.962127783817,1.47042775880137,0.291546500593071,5.04354453169628,4.56986351068255e-07,0.0001733640039098
2900097C17Rik,35.7393997068909,1.76799921760254,0.519888552583682,3.40072734592086,0.0006720682469178,0.0274954979841977
Rprd1b,218.502067552226,1.22039211261112,0.313668522412219,3.89070635212574,9.99528344395554e-05,0.0083420635623253
Lbp,271.985432771858,-1.09749344678169,0.309188385596115,-3.54959467402283,0.0003858247034125,0.0188309530683111
Atp9a,202.708670488616,-1.39840227869236,0.30135221066251,-4.64042482256238,3.47693650422712e-06,0.000736934293688
Pck1,23343.6143286233,1.60507746177096,0.450699210936345,3.56130524044262,0.0003690157818398,0.018441950390632
Fga,3800.02372203085,-1.09008990550336,0.285153089016554,-3.82282341482921,0.0001319322645015,0.0100100607229987
D930015E06Rik,29.0844253616463,-1.66246745438709,0.503122752827265,-3.30429789757066,0.0009521459887199,0.0336720780587147
Ensa,169.907432652042,1.49839762642876,0.356995501302083,4.19724512203541,2.70181456286652e-05,0.0030472086948221
Gpr89,50.1753026736777,-1.34549293392525,0.402546003387998,-3.34245756410698,0.000830400513528,0.0309398334192204
Notch2,137.404200485947,1.02171369569911,0.317068163413946,3.22237869831549,0.0012713098341736,0.0403435432548041
Atp1a1,921.577091892872,-1.43331502953669,0.368850404361231,-3.88589794829934,0.0001019523319545,0.008352915453847
1810037I17Rik,182.614002646169,1.29901719115356,0.358765177916577,3.62080065489416,0.0002936927424142,0.0160500580778415
Mettl14,57.8845428715392,1.50351604345581,0.430695147012357,3.49090546732506,0.0004813865486361,0.0223202896384313
Snhg8,779.596829097661,1.00128505330831,0.279232163598939,3.58585143059112,0.0003359802075523,0.0175255675764507
Ap1ar,64.0482130676234,1.30682238083128,0.372248058588542,3.51062242147449,0.0004470589032247,0.0213208777503665
Ppa2,64.4771767413321,-1.28637067559778,0.355211976485991,-3.62141695875085,0.0002929938549468,0.0160500580778415
Cisd2,325.807576411014,1.18450082397643,0.317342224597621,3.73256608217939,0.0001895389493088,0.0124558430782037
Nfkb1,33.8402698605195,1.3850634140697,0.439025044384811,3.15486196467569,0.0016057405677419,0.0463720096137521
Adh5,1406.60341671182,1.02474990198914,0.282297358301743,3.63003716419409,0.0002833804152566,0.0159803577414311
Fam214b,69.5498631115431,1.26805966553096,0.331521488803324,3.82496974813973,0.0001307881454456,0.0100100607229987
Exosc3,53.904923220562,1.54851695278196,0.484260214254656,3.19769600557696,0.0013853023157566,0.0428212338048321
Mup1,36.983248007832,-3.64966948297524,0.786788866654475,-4.63868979043145,3.50624864268897e-06,0.000736934293688
Plin2,1083.89155049284,-1.40655453884318,0.326204213423967,-4.31188341830241,1.61869780598127e-05,0.002370114366442
C8b,250.85076017038,-1.36631894682059,0.343474494162849,-3.97793422813162,6.95165935813706e-05,0.0063756647256057
C8a,507.705669713484,-1.21121979682836,0.336502071333608,-3.59944232149334,0.0003189003549446,0.0168452048251155
Tesk2,128.209031602303,1.32416786885012,0.340789991016815,3.8855832147511,0.0001020845166897,0.008352915453847
Kdm4a,93.5223364654953,-1.01869168459277,0.3173234398669,-3.21026295763103,0.0013261359549182,0.0415555722450208
Mycl1,167.100918319592,1.83053538140465,0.387468209188453,4.72434986405383,2.30852689123123e-06,0.0006020926698192
D830031N03Rik,21.7701007212105,2.01826923494733,0.598063221228214,3.37467539101051,0.0007390280641319,0.0286880382476506
Lsm10,57.1819961285038,-1.19899525574463,0.379419710780289,-3.16007635259344,0.0015772779930329,0.0460050049355084
Pef1,32.8049190921835,-1.38659640585176,0.442455599269328,-3.13386565373246,0.0017251982313903,0.0484260250242456
Szrd1,70.190234986462,-1.20169247906064,0.355442262881184,-3.3808373526542,0.0007226530521013,0.028430459363704
Epha2,34.6599166354895,2.21432660330707,0.601513587721104,3.6812578277679,0.000232086165883,0.0140361676844908
Mfn2,337.269589259582,1.07826415176587,0.312089387261504,3.45498500037868,0.0005503234378073,0.0245614941814964
Plod1,59.5353163452607,-1.13279316369614,0.358310151557515,-3.16148777468926,0.0015696540719102,0.0460050049355084
Per3,61.1057396951614,2.33272203291686,0.414944266337548,5.62177193941329,1.89008679181597e-08,2.2535234806423e-05
Gtpbp10,37.2222881344648,2.92340158230087,0.642798439430671,4.54792887314745,5.41764378582246e-06,0.000982949022532
Steap4,204.841003439397,1.22611851644753,0.363990459445053,3.36854575341587,0.0007556585392058,0.0291456465149973
Crot,638.926261551397,-1.51433221619483,0.307031186353771,-4.93217719730258,8.13180954148544e-07,0.0002827836768051
2900005J15Rik,18.7847478305524,1.98913680725645,0.553886894246441,3.59123284540368,0.0003291174300998,0.0172755601988269
Ost4,51.2570945531038,2.21019893552662,0.435419632206883,5.07602039973356,3.85421931613643e-07,0.0001531776876784
Mpv17,68.8440055879239,-1.1584940881688,0.364142702866558,-3.18142881636526,0.0014655053243183,0.0448025913434463
Ugdh,223.991202239135,1.11893540161904,0.343443239943955,3.25799221379823,0.0011220348490422,0.0373087762952466
Cxcl1,68.9200293041183,2.2532702284453,0.523361740643432,4.30537819916886,1.6670069160712e-05,0.0023987654692293
Mir703,83.1679059069367,-1.58243631261277,0.478814177925543,-3.30490696718434,0.0009500793101727,0.0336720780587147
Tgfbr3,78.1555649700331,1.56974259766382,0.411973965339664,3.81029562479658,0.0001388007163649,0.010279705682661
Gm13826,47.6391949327666,-1.84597836701247,0.436995348498001,-4.22425175315318,2.39735943662674e-05,0.0029415394122462
Acads,387.582457842654,-1.21174290851133,0.272047612661465,-4.45415747874698,8.42232673424156e-06,0.0014058547784796
Slc24a6,179.865089007253,1.34526148678424,0.361393772688237,3.72242575398429,0.0001973179401992,0.0126678117607897
Aldh2,2709.15543563525,-1.14181748558211,0.246828580893597,-4.62595328891157,3.72879336127095e-06,0.0007590368144674
Zcchc8,83.5852840538926,1.22813960061658,0.388351255547501,3.16244529423533,0.0015645012786767,0.0460050049355084
Ubc,1600.19168920282,-1.80952442561189,0.340798437365674,-5.30966174492838,1.09828877796493e-07,7.05101395453488e-05
Stx2,47.3588038510898,-1.38111420702809,0.426208849138318,-3.24046347188787,0.0011933556070316,0.0389052574073679
Sbds,564.492308450057,1.07125206600029,0.299158886268043,3.58087997774019,0.0003424389417654,0.0176078339286232
Ptcd1,19.7665209720625,-1.66057104652252,0.524816922227091,-3.16409585170347,0.0015556555237018,0.0460050049355084
Ssbp1,342.479978102888,1.3008460366751,0.334188909399223,3.89254699987997,9.91972740895498e-05,0.0083420635623253
Cycs,251.192838259846,1.21930846956823,0.370236220125936,3.29332572905341,0.0009900969843294,0.0346780435293106
Hnrnpa2b1,1019.95726006562,1.15248336416093,0.270356451487096,4.26282915692113,2.01854845576082e-05,0.0026627121035513
Cbx3,66.5661550520947,-1.76476477941373,0.418088775345352,-4.22102884239356,2.43189814815465e-05,0.0029415394122462
Aqp1,437.470587975014,-1.01452200853139,0.247241757878241,-4.10336027877222,4.07192402986961e-05,0.0041123620973927
Rmnd5a,910.023215438623,1.17898024057608,0.348988085206987,3.3782822123478,0.0007294018320225,0.0284466714488796
Atoh8,39.3702201598167,-2.15888119133335,0.514080096887187,-4.19950354897149,2.67500837798091e-05,0.0030472086948221
Cml1,965.046102144868,-1.23309570271528,0.287964722423678,-4.2821068231443,1.85132062563007e-05,0.0025751869902514
Dusp11,135.266961952911,2.26237118187442,0.41446516825297,5.4585315128184,4.80088664726182e-08,5.00852499475589e-05
Sec61a1,980.582403656087,-1.35857792273076,0.278470005732491,-4.87872264431906,1.06775087495278e-06,0.0003427480308598
Slc41a3,81.218818555136,1.97045737181701,0.419649100419615,4.69548813484104,2.65970807447506e-06,0.0006528801055755
Tatdn2,135.378543399476,-1.19898503557098,0.352508740395296,-3.40129165088633,0.000670682317731,0.0274954979841977
8430408G22Rik,516.384329806237,-1.1780905051705,0.336741327351348,-3.49850288480128,0.0004678780280847,0.0219617881480429
Fbxl14,231.448836532928,1.754842301799,0.396400077107941,4.4269474279672,9.55760145559605e-06,0.0015339950336231
Mug-ps1,61.7570455049878,-1.4976681544172,0.429951913507636,-3.4833387347876,0.0004952013643301,0.0227541313741213
Aebp2,147.210378886698,1.00510880674864,0.295032246407294,3.40677610325036,0.0006573502648929,0.0274954979841977
Gys2,656.312293217831,1.2558223103993,0.251211586699591,4.99906205322074,5.76098620808176e-07,0.000209048656055
Isoc2a,411.266902689991,-1.55691367044497,0.292021910305236,-5.3314960812961,9.74069236700461e-08,6.77465154125171e-05
Foxa3,306.16054756431,-1.60108911635763,0.325908193182571,-4.91269980273468,8.98307636026031e-07,0.0002998910212109
Eml2,65.7284748916713,-1.54931336226037,0.41225178428117,-3.75817260551548,0.0001711588008939,0.0115200915504923
Bcl3,22.9244431294979,-1.78436720321486,0.534879673620598,-3.33601610084841,0.0008498824147407,0.0311862508959998
Rps19,470.310991816861,-1.03666510857166,0.279791501241222,-3.70513437317707,0.000211278696348,0.0132581353362437
Exosc5,60.1569918243803,-1.26827628726676,0.386806968626109,-3.27883515586992,0.0010423650520788,0.0352209664965578
Pak4,19.2295483817977,2.13833965438725,0.552279583942584,3.87184266186736,0.0001080156713152,0.0085857027885413
Hamp2,1586.75590732176,1.13989020107669,0.361249290180132,3.15541160097034,0.0016027182576262,0.0463720096137521
Lsm14a,264.241615802168,1.27741467412307,0.275472195850053,4.6371818766726,3.53191609723468e-06,0.000736934293688
Atf5,896.12549631046,-1.4979385248916,0.359027151617841,-4.17221516016719,3.01652579556061e-05,0.0033567899052998
Prmt1,30.8628868111591,-2.29910191715698,0.600091228508398,-3.83125399594939,0.0001274918069798,0.0098522835282768
Mfge8,78.0865061946094,-1.20578659616792,0.352419938827671,-3.4214482874578,0.0006228856916017,0.0266595076005533
Fam103a1,395.19720009429,1.53466062172166,0.329006870748907,4.66452453782611,3.09331421002993e-06,0.0007303422294075
3110040N11Rik,68.399459021655,1.27971157007878,0.353270842199768,3.62246587380435,0.0002918079679466,0.0160500580778415
Bccip,96.5068184343425,1.47639169446021,0.471347177051355,3.13228076106491,0.0017345391787269,0.0484260250242456
Glrx3,46.64139756291,-1.45816448265765,0.385066280957997,-3.78678828753822,0.0001526070189396,0.0108806906702484
Cyp2e1,14667.0329844816,1.01246631521301,0.219883419041411,4.60455963267666,4.13339567642103e-06,0.000802263263149
Psmd13,243.215416517009,-1.38906666966584,0.269266261115669,-5.15871043000497,2.48656533952152e-07,0.0001297054645227
Tmem80,58.2597704211569,1.30250313065615,0.401466308313879,3.24436472920117,0.0011771291307143,0.0385267440193786
